Age_Group,Sex,Year_Level,In_relationship,Personality,Home_Region,Living_Situation,Dorm_Area,Roommates,Degree_Program,In_Organization,Hours_of_Study_per_Week,Monthly_Allowance,Family_Monthly_Income,Have_Scholarship,Have_Job,Meal_Preferences,Frequency_of_Going_Home,Have_Health_Concern,Preferred_Payment_Method,Living_Expenses,Food_and_Dining_Expenses,Transportation_Expenses,Leisure_and_Entertainment_Expenses,Academic_Expenses
18-20,Male,Freshman,Yes,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Raymundo,I live with 1 roommate,BS Statistics,Yes,Less then 10 hours,10000,"P12,031 - P24,060",Yes,No,A combination of the above,Always,No,Combination of the three,5000,3000,0,1000,1000
18-20,Female,Freshman,No,Introvert,Metro Manila,Inside campus,UP Dorm,I live with more than 3 roommates,BS Statistics,Yes,Less then 10 hours,6300,"P12,031 - P24,060",No,No,A combination of the above,Often,No,Combination of the three,1500,3000,1000,500,300
21-23,Male,Senior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Junction,I live alone,BS Statistics,Yes,21-30 hours,13500,"P48,121 - P84,210",No,No,A combination of the above,Rarely,No,Combination of the three,3500,250,1300,500,1000
18-20,Male,Sophomore,Yes,Introvert,Metro Manila,Outside Campus,Agapita,I live alone,BS Chemistry,No,10-20 hours,12000,"P24,061 - P48,120",No,No,A combination of the above,Sometimes,No,Combination of the three,5000,5000,1250,250,500
18-20,Male,Freshman,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Raymundo,I live alone,BS Statistics,Yes,10-20 hours,8000,"P24,061 - P48,120",Yes,No,A combination of the above,Always,No,Cash,4000,200,70,0,1000
21-23,Male,Sophomore,No,Introvert,Visayas,Outside Campus,Raymundo,I live with 2-3 roommates,BS Chemistry,Yes,More then 40 hours,23000,"More than P240,601",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,Yes,Combination of the three,3000,9500,6500,2500,1500
18-20,Female,Sophomore,No,Introvert,Metro Manila,Outside Campus,Demarces,I live alone,BS Computer Science,Yes,Less then 10 hours,18300,"More than P240,601",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Often,Yes,Cash,8200,8000,1100,500,500
18-20,Female,Junior,No,Introvert,Metro Manila,Inside campus,UP Dorm,I live with 2-3 roommates,BS Statistics,Yes,10-20 hours,8800,"P48,121 - P84,210",No,No,A combination of the above,Often,No,Cash,2500,4000,800,500,1000
18-20,Female,Freshman,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Agapita,I live with 2-3 roommates,BS Statistics,Yes,21-30 hours,10800,"P12,031 - P24,060",No,No,A combination of the above,Sometimes,No,Cash,4000,5000,500,1000,300
21-23,Male,Senior,Yes,Extrovert,Southern Luzon (Southern Tagalog & Bicol),With family,Others,With family,BS Agriculture,Yes,10-20 hours,5000,"P12,031 - P24,060",No,Yes,I cook my meals,Always,No,Cash,0,500,500,1000,500
18-20,Female,Freshman,Yes,Introvert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Agapita,I live with 2-3 roommates,BS Statistics,Yes,Less then 10 hours,8000,"P24,061 - P48,120",Yes,No,A combination of the above,Often,No,Cash,3000,4000,400,500,100
18-20,Female,Freshman,No,Ambivert,Metro Manila,Outside Campus,Demarces,I live with 2-3 roommates,BS Food Science and Technology,Yes,21-30 hours,15000,"P24,061 - P48,120",Yes,No,A combination of the above,Often,No,Combination of the three,4000,4000,1000,2000,500
18-20,Female,Freshman,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Raymundo,I live with 1 roommate,BS Mathematics,No,31-40 hours,12000,"P24,061 - P48,120",No,No,A combination of the above,Always,Yes,Online Payment ,4000,4000,1400,800,800
18-20,Male,Freshman,No,Extrovert,Southern Luzon (Southern Tagalog & Bicol),Outside Campus,Raymundo,I live with more than 3 roommates,BS Mathematics,Yes,21-30 hours,11300,"Less than P12,030",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Often,No,Cash,5000,4500,300,1000,500
18-20,Male,Freshman,Yes,Ambivert,Mindanao,Inside campus,UP Dorm,I live with more than 3 roommates,BS Biology,No,10-20 hours,14000,"Less than P12,030",Yes,No,"I eat out regularly (carideria, fastfoods, etc.)",Not at all,No,Cash,7000,5000,0,1000,1000
18-20,Female,Freshman,No,Introvert,Central Luzon,Outside Campus,Raymundo,I live with 2-3 roommates,BS Food Science and Technology,No,10-20 hours,8900,"Less than P12,030",Yes,No,A combination of the above,Often,No,Cash,2000,5600,600,500,200
Under 18,Male,Freshman,No,Extrovert,Central Luzon,Inside campus,Lopez Ave,I live with 2-3 roommates,BS Statistics,Yes,Less then 10 hours,15000,"P48,121 - P84,210",No,No,A combination of the above,Often,No,Combination of the three,5000,7500,1000,1500,0
18-20,Male,Sophomore,Yes,Introvert,Metro Manila,Inside campus,Others,I live alone,BS Biology,No,More then 40 hours,13200,"More than P240,601",Yes,No,A combination of the above,Sometimes,No,Combination of the three,6000,4500,1200,1000,500
21-23,Male,Junior,Yes,Introvert,Central Luzon,Outside Campus,Lopez Ave,I live with 2-3 roommates,BS Computer Science,Yes,Less then 10 hours,16250,"P24,061 - P48,120",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Rarely,Yes,Combination of the three,6500,6000,500,3000,250
21-23,Female,Junior,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kaliwa,I live with more than 3 roommates,BS Computer Science,No,Less then 10 hours,12000,"P48,121 - P84,210",No,No,"I eat out regularly (carideria, fastfoods, etc.)",Always,Yes,Cash,4500,6000,0,1500,0
18-20,Female,Freshman,No,Ambivert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kaliwa,I live with 2-3 roommates,BS Food Science and Technology,No,21-30 hours,12500,"P84,211 - P144,360",No,No,A combination of the above,Sometimes,No,Cash,3500,8000,300,500,200
18-20,Male,Freshman,No,Introvert,Southern Luzon (Southern Tagalog & Bicol),Inside campus,Kaliwa,With family,BS Mathematics,No,Less then 10 hours,12506,"P84,211 - P144,360",Yes,No,A combination of the above,Always,No,Combination of the three,4165,4275,1736,1935,395
